globalId;questionCode;answerCode;answerSummary;effectId;groupLabel;effectAction;reasoning_DE;relevantVariable1;includedRange1;excludedRange1;relevantVariable2;includedRange2;excludedRange2;scoreChange;condition;answer1;answer2;formulierung1
0;artLV;VL;noShow;0;keine Vorlesung;ausgeschlossen;noShow;0;-;vl, so;-;-;-;-100;true;;Sie haben angegeben, dass es sich um eine Vorlesung handelt.;noShow
1;artLV;SE;noShow;0;kein Seminar;ausgeschlossen;noShow;0;-;se, so;1;-;ringpraes, ringonl, ringhyb1, ringhyb2;-100;true;;Sie haben angegeben, dass es sich um ein Seminar oder eine Übung handelt.;noShow
2;artLV;PR;noShow;0;kein Praktikum;ausgeschlossen;noShow;0;-;pr;-;-;-;-100;true;;Sie haben angegeben, dass es sich um ein Praktikum handelt.;noShow
3;artLV;SO;noShow;0;kein sonstiges Format;ausgeschlossen;noShow;0;-;so;-;-;-;-100;true;;Sie haben angegeben, dass es sich um eine sonstige Art von Lehrveranstaltung handelt.;noShow
4;LZiP;0;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;Laut Ihren Angaben sind alle Lernziele des Kurses sowohl in Präsenz als auch online erreichbar;Sie haben angegeben, dass alle Lernziele des Kurses sowohl in Präsenz als auch online erreichbar sind.;noEffect
5;LZiP;1;Alle Lernziele sind online erreichbar, aber manche nicht so gut online wie in Präsenz.;0;rein-online Lehrformat;nicht empfohlen;wichtige Lernziele online nicht so gut erreichbar sind wie in Präsenz;1;async, onl, ringonl;-;-;-;-;-2;true;Laut Ihren Angaben sind die Lernziele zwar online erreichbar, allerdings nicht so gut wie in Präsenz.;Sie haben angegeben, dass alle Lernziele online erreichbar sind, aber manche davon nicht so gut wie in Präsenz.;Laut Ihren Angaben sind die Lernziele zwar online erreichbar, allerdings nicht so gut wie in Präsenz. Deshalb wird Szenario XYZ als rein-online Lehrformat nicht empfohlen.
6;LZiP;1;Alle Lernziele sind online erreichbar, aber manche nicht so gut online wie in Präsenz.;1;hybrides Lehrformat ohne verpflichtende Präsenzkomponente für Studierende;nicht ideal;manche Studierende könnten prinzipiell nie in Präsenz teilnehmen und bei der Erreichung einiger Lernziele benachteiligt werden;1;hyb, ringhyb2, onlhybwechs, hybrem;-;-;-;-;-1;true;Laut Ihren Angaben sind die Lernziele zwar online erreichbar, allerdings nicht so gut wie in Präsenz.;Sie haben angegeben, dass alle Lernziele online erreichbar sind, aber manche davon nicht so gut wie in Präsenz.;Laut Ihren Angaben sind die Lernziele zwar online erreichbar, allerdings nicht so gut wie in Präsenz. Deshalb wird Szenario XYZ als hybrides Lehrformat ohne verpflichtende Präsenzkomponente für Studierende, nicht ideal, da manche Studierende könnten prinzipiell nie in Präsenz teilnehmen und bei der Erreichung einiger Lernziele benachteiligt werden.
7;LZiP;2;Manche Kurskomponenten müssen zwingend in Präsenz durchgeführt werden.;0;rein-online Lehrformat;ausgeschlossen;essenzielle Lernziele nicht online erreichbar;1;async, onl, ringonl;-;-;-;-;-100;true;Laut Ihren Angaben müssen einige Kurskomponenten zwingend in Präsenz stattfinden.;Sie haben angegeben, dass manche Kurskomponenten zwingend in Präsenz durchgeführt werden müssen.;Sie haben angegeben, dass einige Kurskomponenten zwingend in Präsenz stattfinden müssen. Aus diesem Grund ist Szenario XYZ als rein-online Lehrformat, ausgeschlossen, weil sonst essenzielle Lernziele nicht online erreichbar wären.
8;LZiP;2;Manche Kurskomponenten müssen zwingend in Präsenz durchgeführt werden.;1;hybrides Lehrformat ohne verpflichtende Präsenzkomponente für Studierende;nicht empfohlen;manche Studierende könnten prinzipiell nie in Präsenz teilnehmen und bei der Erreichung essenzieller Lernziele benachteiligt werden;1;hyb, ringhyb2, onlhybwechs, hybrem;-;-;-;-;-3;true;Laut Ihren Angaben müssen einige Kurskomponenten zwingend in Präsenz stattfinden.;Sie haben angegeben, dass manche Kurskomponenten zwingend in Präsenz durchgeführt werden müssen.;Sie haben angegeben, dass einige Kurskomponenten zwingend in Präsenz stattfinden müssen. Aus diesem Grund ist Szenario XYZ als hybrides Lehrformat ohne verpflichtende Präsenzkomponente nicht empfohlen. Grund dafür ist, manche Studierende könnten prinzipiell nie in Präsenz teilnehmen und bei der Erreichung essenzieller Lernziele benachteiligt werden.
9;LZsy;0;Synchrone Interaktion ist hilfreich aber nicht notwendig für die Lernziele.;0;hohes Maß an synchroner Interaktion;ausgeschlossen;-;2;2;-;-;-;-;-100;true;Laut Ihren Angaben ist synchrone Interaktion hilfreich, aber nicht notwendig für die Lernziele ;Sie haben angegeben, dass synchrone Interaktion hilfreich, aber nicht notwendig für die Lernziele ist.;Laut Ihren Angaben passt Szenario XYZ als hohes Maß an synchroner Interaktion, nicht, weil Sie sich wenige synchrone Interaktion wünschen.
10;LZsy;0;Synchrone Interaktion ist hilfreich aber nicht notwendig für die Lernziele.;1;eher frontales Unterrichtsformat;empfohlen;Lehrperson wünscht sich wenige synchrone Interaktion;2;0;-;-;-;-;1;true;;Sie haben angegeben, dass synchrone Interaktion hilfreich, aber nicht notwendig für die Lernziele ist.;Basierend auf Ihre Angaben wird Szenario XYZ als eher frontales Unterrichtsformat empfohlen, weil Sie sich wenige synchrone Interaktion wünschen.
11;LZsy;1;Synchrone Interaktion verbessert die Lernerfahrung erheblich, ist aber nicht zwingend erforderlich.;0;eher frontales Unterrichtsformat;ausgeschlossen;synchrone Interaktion wird im Kurs gewünscht;2;0;-;-;-;-;-100;true;;Sie haben angegeben, dass synchrone Interaktion die Lernerfahrung erheblich verbessert, aber nicht zwingend erforderlich ist.;Laut Ihren Angaben passt Szenario XYZ als eher frontales Unterrichtsformat, nicht optimal, weil synchrone Interaktion wird im Kurs gewünscht.
12;LZsy;1;Synchrone Interaktion verbessert die Lernerfahrung erheblich, ist aber nicht zwingend erforderlich.;1;mittleres Maß an synchroner Interaktion;empfohlen;synchrone Interaktion wird im Kurs gewünscht;2;1;-;-;-;-;1;true;;Sie haben angegeben, dass synchrone Interaktion die Lernerfahrung erheblich verbessert, aber nicht zwingend erforderlich ist.;Laut Ihren Angaben wird Szenario XYZ als mittleres Maß an synchroner Interaktion, nicht empfohlen, weil synchrone Interaktion wird im Kurs gewünscht.
