short-event-name;long-event-name;day;start;end;loc;id;web;category
Auftakt;Auftaktveranstaltung der Themenwoche Hybride Lehre;monday;10:30;13:00;Senatsaal der Humboldt-Universität;event-auftakt;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/anmeldung-thl-auftakt;event-1
Blended Learning mit H5P zum Thema Inklusion;Blended Learning mit H5P am Beispiel einer digitalen Lehr-Lerneinheit zum Thema Inklusion;tuesday;10:30;12:00;bologna.lab;event-FDQI;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-lw1 ;event-3
Self-Assessment-Tool zum Lernfortschritt;Selbsteinschätzungstool zum Lernfortschritt;tuesday;13:00;14:00;bologna.lab;event-selbsteval;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb1 ;event-2
Prüfungskultur im Wandel;Prüfungskultur(en) im Wandel;tuesday;14:00;15:00;bologna.lab;event-pruefung;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb2;event-2
Projekt COIL;Projekt Collaborative Online International Learning (COIL);tuesday;15:00;16:00;bologna.lab;event-coil;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb3 ;event-2
Hybride Ringvorlesungen;Hybride Ringvorlesungen: Herausforderungen & Rezepte;tuesday;16:00;17:00;Online;event-ring;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb4 ;event-2
Workshop: Kollab. Textarbeit;" ""Lehrwerkstatt: Kollaborative Textarbeit in hybriden Lehr-Lern-Settings kennenlernen und ausprobieren""";wednesday;10:30;12:30;bologna.lab;event-genderingMINT;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-lw2 ;event-3
Projekt HyPE ViSOR;HyPE ViSOR - Hybride Präsenz- und E-Lehrkonzepte zur Vielseitigkeit von Sprache;wednesday;11:00;12:00;Online;event-hype;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb6;event-2
Journal Club Hybride Lehre;Journal Club Hybride Lehre;wednesday;13:00;14:00;bologna.lab;event-journalClub;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/journalclub ;event-1
Hybride Lehre in Lehrkräftebildung;Synchron-hybride Lehrformate in der Lehrkräftebildung - Erfahrungen und Evaluationsergebnisse zu Akzeptanz, Interaktion und Kompetenzentwicklung der Studierenden;wednesday;14:00;15:00;Institut für Erziehungswissenschaften;event-lehrkraft;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb5;event-2
Digitales Editieren als kollaborativer Workflow;"Projekt ""Digitales Editieren als Kollaborativer Workflow""";friday;13:00;14:00;Institut für Musikwissenschaft & Medienwissenschaft;event-digitaledit;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb7;event-2
"Workshop: 
VL-Aufzeichnung und Videokonferenzen";Workshop: Vorlesungsaufzeichnung und Videokonferenzen im Hörsaal;friday;14:00;15:30;Erwin Schrödinger-Zentrum;event-medientechnik;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-pb8 ;event-3
Diskussion mit Studierenden;Diskussion mit Studierenden: Hybride Lehre im Kontext von Studierbarkeit, Barrierefreiheit und familiengerechter Hochschule;friday;16:00;17:00;Erwin Schrödinger-Zentrum;event-refrat;https://www.digitale-lehre.hu-berlin.de/de/veranstaltungen/themenwoche-zur-hybriden-lehre/programm/thl-diskussion-studierende ;event-1
Tag der Lehre 2024;Tag der Lehre 2024;thursday;13:30;20:00;Senatsaal der Humboldt-Universität;event-tdl;https://bolognalab.hu-berlin.de/de/humboldt-tag-der-lehre;event-4
