group;frage;cat2_old;cat3_old;cat4_old;graphName;cat1_new;cat2_new;cat3_new;cat4_new;quote
v1;didaktik;_sonstiges;*datenschutz;;Nicht-Hybrid-Lehrende;Organisation;Sonstiges;Rechtliches;;"-Studierende, die sich online zuschalten, nehmen nicht aktiv teil -anwesende Studierende sind gehemmt, etwas zu sagen, weil sie fürchten, dass die online zugeschalteten Studierenden die ganze Sitzung aufnehmen 
-die Studierenden lernen mehr, wenn sie anwesend sind, weil sie weniger abgelenkt sind."
v1;didaktik;_sonstiges;*datenschutz;;Nicht-Hybrid-Lehrende;Organisation;Sonstiges;Rechtliches;;Online-Lehre kann jeder mitschneiden (z.B. Screen-Cast). Also formuliere ich viel vorsichtiger, was die VL auch langweiliger macht. Lange Online-Sessions sind sehr ermüdend, man müsste von den 90 Minuten Blöcken also wegkommen. Aus der Online-Welt kommen praktisch nie Fragen oder sonstige Beteiligung - nur schwarze Bildschirme.
v2;didaktik;_sonstiges;*keineAnpassung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Sonstiges;Unklar;;"ich stelle für die digital zugeschaltete Gruppe nicht viel um, da das hybride Angebot für mich meist eine ""Notlösung"" ist"
v2;didaktik;_sonstiges;*keineAnpassung;;Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Sonstiges;Unklar;;Didaktisch sehe ich im Prinzip weder Vor- noch Nachteile. Ich kann dieselben didaktischen Methoden anwenden wie beim reinen Präsenzunterricht.
v1;didaktik;_sonstiges;*lernerfolgPräsenz;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;niedriger Lernerfolg;;(entscheidend): erheblich zu geringer Lernerfolg, Diskussionen funktionieren nicht, Kommunikation und gemeinsames Arbeiten an Materialien bedarf ganzheitlicher Präsenz (K. mit schwarzen Kacheln bzw. reinen Kopfbildern funktioniert nicht), Gruppenerfahrungen (auch auf nicht-kognitiven Ebenen) sind nur in Präsenz möglich
v1;didaktik;_sonstiges;*lernerfolgPräsenz;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;niedriger Lernerfolg;;Einbindung in die Seminargruppe, Verständlichkeit bei der Übermittlung von Lehrinhalten
v1;didaktik;_sonstiges;*lernerfolgPräsenz;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;niedriger Lernerfolg;;Sobald ich synchrone hybride Angebote mache, erwarte ich eine drastische Abnahme der Präsenzteilnahme der Studierenden. Die persönliche Interaktion mit direktem Feedback (nicht nur zweidimensional oder gar mit schwarzen Rechtecken) ist aus meiner Sicht digital kaum zu ersetzen. Wenn ich also ein hybrides Angebot mache, gebe ich diese persöniche Interaktion mit einem guten Teil der Studierenden auf.
v1;didaktik;_sonstiges;*lernerfolgPräsenz;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;niedriger Lernerfolg;;"-Studierende, die sich online zuschalten, nehmen nicht aktiv teil -anwesende Studierende sind gehemmt, etwas zu sagen, weil sie fürchten, dass die online zugeschalteten Studierenden die ganze Sitzung aufnehmen 
-die Studierenden lernen mehr, wenn sie anwesend sind, weil sie weniger abgelenkt sind."
v1;didaktik;_sonstiges;*selbstregulieren;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Selbstreguliertes Lernen;;-- Hybrid = Weder online noch in Präsens richtig. -- Präsensveranstaltungen helfen Studierende ihren Alltag zu organisieren. -- Synchron Hybrid würde sofort auch Nachfragen nach asynchron nach sich ziehen und Studierende noch mehr Möglichkeiten geben, dass Lernen zu procrastinineren
v1;didaktik;_sonstiges;*selbstregulieren;;Nicht-Hybrid-Lehrende;Didaktik & Menschliche Kommunikation;Qualität der Lehre;Selbstreguliertes Lernen;;- Für Studierende: Selbstdisziplin und Eigenständigkeit üben - Für Studierende und Lehrende: Flexibilität und Umgang mit verschiedenen Lern- und Lehrformaten
