graphID;graphName;cat1;cat2;cat3;cat4;count;percent
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Planung;;;14;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Qualität der Lehre;;;15;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;24;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;25;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Soziales;;;12;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Organisation;Belastung Lehrperson;;;27;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Organisation;Anwesenheit;;;11;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Organisation;Sonstiges;;;9;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Organisation;Durchführung;;;2;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Remote-Technik;;;5;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Ausstattung;;;25;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Usability;;;28;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Störungen & Qualität;;;21;
all_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Sonstiges;;;6;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Planung;;;10;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Qualität der Lehre;;;5;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Engagement & Aufmerksamkeit Studierender;;;18;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Interaktion & Kommunikation;;;19;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Soziales;;;1;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Didaktik & Menschliche Kommunikation;Sonstiges;;;3;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Organisation;Belastung Lehrperson;;;31;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Organisation;Anwesenheit;;;3;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Organisation;Durchführung;;;7;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Organisation;Sonstiges;;;2;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Remote-Technik;;;9;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Ausstattung;;;20;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Usability;;;31;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Störungen & Qualität;;;37;
all_hybrid-lehrende;Hybrid-Lehrende: Alle Herausforderungen;Technik & ihre Nutzung;Sonstiges;;;3;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Engagement & Aufmerksamkeit Studierender;;;;24;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Interaktion & Kommunikation;;;;25;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Planung;neue Methoden;;;9;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Planung;Inhalte abdecken;;;5;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;Sorge um Qualitätsverlulst;;;5;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;Gleichbehandlung der Gruppen;;;4;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;niedriger Lernerfolg;;;4;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Qualität der Lehre;Selbstreguliertes Lernen;;;2;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Soziales;Soziale Präsenz;;;9;
did_nicht-hybrid-lehrende;Nicht-Hybrid-Lehrende: Didaktische Herausforderungen;Soziales;Sozialisation;;;3;
did_hybrid-lehrende;Hybrid-Lehrende: Didaktische Herausforderungen;Engagement & Aufmerksamkeit Studierender;;;;18;
